SITE_ID,SITE_NO,dummyCell
7521,5MV2314,124193
7530,5MT393,65459
7555,5MT13932,37627
7556,5MT13933,29078
7568,5MT13944,37017
7569,5MT13945,42495
7578,5MT13954,46509
7590,5MT13966,112208
7593,5MT13968,97840
7607,5MT13980,97956
7608,5MT13981,88070
7609,5MT13982,39790
7610,5MT13983,71762
7612,5MT13985,48040
7634,5DL2144,115631
7641,5DL513,38191
7648,5DL493,115064
7650,5DL494B,85298
7652,5MT787,35021
7661,NA,39708
7666,NA,17882
7690,NA,71604
7693,NA,81892
7697,NA,60368
7699,NA,105463
7701,NA,37498
7702,NA,50899
7718,5MT3224,76015
7729,5MT3320,37262
7853,5MT13649,78047
7856,5MT13652,49496
7861,5MT13657,27736
7864,5MT13661,27736
7870,5MT13667,126101
7876,5MT13673,102063
7882,5MT13679,16813
7883,5MT13680,78065
7885,5MT13682,66825
7886,5MT13684,66825
7895,5MT13693,84003
7900,5MT13698,34483
7901,5MT13699,85071
7909,5MT13707,115601
7923,5MT14541,124312
7931,5MT157,36077
7965,5MT201,22276
7975,5MT2035,26026
7976,5MT2036,63059
7985,5MT2046,58251
7986,5MT2047,29460
7987,5MT2048,65352
7995,5MT217,28838
8019,5MT2291,105877
8020,5MT2292,98682
8026,5MT2306,10594
8041,5MT2414,42845
8042,5MT2415,98399
8044,5MT2421,71392
8135,5MT403,24454
8138,5MT4106,101114
8251,5MT5782,69689
8307,5MT989,39207
8323,5MV1167,33011
8329,5MV1176,41494
8330,5MV1177,33011
8331,5MV1178,33011
8336,5MV1191,128385
8353,5MV2257,129385
8355,5MV2267,128062
8356,5MV2285,14049
8357,5MV2313,55590
8358,5MV2340,51361
8360,5MV24,115358
8361,5MV25,115358
8364,5MV28,40937
8365,5MV29,40937
8366,5MV30,48146
8377,5MV43,84974
16700,5DL608,41580
16701,5DL601,70087
16714,5MT1786,20708
16716,5MT2198,88788
16722,5MT8834,61649
16731,5MT8371,30260
16749,NA,129048
16806,NA,129048
16807,5MT8829,78543
16812,5MT8836,45616
16814,5MT8837,49638
16816,5MT2519,62539
16855,5MT10747,50650
16866,5MT14603,11525
16899,5MT14651,122526
16918,5MT14659,69740
16930,5MT14658,61164
16985,5MT14706,84140
17031,5MT14750,78667
17032,5MT14752,8821
17042,5MT14749,125733
17059,5MT14782,57985
17100,5MT14862,88153
17102,5MT14866,92781
17125,5MT14881,94470
17126,5MT14883,105892
17143,5MT14868,107640
17145,5MT14872,128914
17149,5MT14880,127036
17165,5MT14898,102296
17168,5MT14917,46893
17186,5MT14900,52293
17191,5MT14910,16771
17193,5MT14914,43667
17216,5MT14967,28501
17221,5MT14920,24957
17236,5MT14948,118125
17247,5MT14995,85827
17250,5MT15001,85827
17257,5MT14954,17821
17260,5MT14960,89607
17261,5MT14962,59468
17271,5MT15021,93528
17272,5MT15019,117776
17301,5MT15039,77882
17313,5MT15043,73691
17328,5MT15071,110218
17332,5MT15079,71778
17356,5MT15050,108110
17371,5MT15089,14112
17374,5MT15083,36077
17393,5MT15000,9208
17397,5MT15080,46574
17409,5MT15121,118663
17433,5MT15143,113219
17492,5MT15192,47439
17498,5MT15204,125224
17509,5MT15195,68171
17634,5MT15346,81330
17660,5MT15372,62389
17676,5MT15384,44930
17708,5MT15420,102512
17719,5MT15442,45146
17734,5MT15397,87858
17742,5MT15454,45483
17745,5MT15441,25137
17747,5MT15445,96679
17756,5MT15409,25137
17757,5MT15411,44135
17759,5MT15415,7430
17769,5MT15419,69022
17793,5MT14421,127455
17831,5DL1004,60975
17862,5DL1363,52487
17900,5DL1587,14610
17903,5DL1652,117407
17933,5DL271,65454
17973,5DL42,67364
18008,5DL498,84149
18102,5DL612,79871
18169,5DL912,104716
18171,5DL947,61928
18200,5LP3394,96211
18206,5LP4280,91526
18233,5LP4284,89930
18235,5LP4287,16743
18287,5MT10181,57400
18381,5MT11211,7787
18383,5MT11213,98866
18403,5MT10816,85235
18426,5MT110,28723
18445,5MT11100,74186
18449,5MT11131,97920
18450,5MT11132,115803
18459,5MT11142,115340
18476,5MT11159,23771
18486,5MT11169,128220
18510,5MT11192,15187
18512,5MT11194,72249
18518,5MT11200,38770
18530,5MT11224,28058
18533,5MT11227,23725
18562,5MT11253,8884
18565,5MT11256,47076
18567,5MT11258,104194
18584,5MT11273,50105
18599,5MT11287,122634
18617,5MT11304,60326
18637,5MT1263,79911
18648,5MT11398,30118
18668,5MT11452,88705
18695,5MT11497,57708
18696,5MT115,103277
18735,5MT11565,112966
18737,5MT116,18026
18746,5MT11667,111285
18792,5MT11885,90265
18793,5MT119,84764
18796,5MT1193,51415
18797,5MT1194,22073
18799,5MT1195,54843
18800,5MT11950,44724
18801,5MT11958,124767
18803,5MT1196,20019
18810,5MT1200,37223
18811,5MT12000,63288
18870,5MT12237,56037
18960,5MT1257,50274
18962,5MT1259,122032
18968,5MT12635,14515
18973,5MT1266,116828
18974,5MT1267,116828
18984,5MT12736,42370
18993,5MT12769,75825
19060,5MT1292,113951
19125,5MT13660,102191
19155,5MT13882,79697
19157,5MT13885,79697
19160,5MT140,86717
19162,5MT142,18026
19177,5MT14261,26370
19180,5MT14264,125315
19181,5MT143,20392
19199,5MT14416,110436
19206,5MT14425,23672
19212,5MT14432,49303
19220,5MT14443,112507
19240,5MT14468,128191
19260,5MT14491,52390
19281,5MT14513,24430
19285,5MT14517,69244
19299,5MT14572,46967
