dummyCell,vep,boutNo,boutLength,phase,center,meanMaize,relToAll,nHouse,fieldContention,modelledpop,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
6296,19,1,18,0,0,0.7587750477175559,0.10958281241803675,1,142,3039.5,0,0,1,0,1,0,1,1
6296,19,1,18,1,0,0.7419133932359757,0.08949466059284823,1,163,3228.8,0,0,0,0,1,0,1,1
6322,14,1,32,0,0,0.7513522873825741,0.113257161826582,1,81,2925.75,0,1,0,1,0,0,1,0
6322,14,1,32,1,0,0.7218875125531228,0.06651938711443259,1,87,2765.6,0,1,0,1,0,0,1,1
6367,15,1,12,0,0,0.7236364368469484,0.07657019385407049,1,136,1224.375,0,0,0,1,0,0,1,0
6367,15,1,12,1,0,0.717635675014988,0.050989420952335496,1,140,1507.8,1,1,0,1,0,0,1,1
6367,17,2,39,0,0,0.7049209485405601,0.04847800575093737,1,87,3133.8,1,1,0,1,0,0,1,1
6367,17,2,39,1,0,0.7207098949340082,0.02070990685493712,1,57,2348.2,0,0,0,1,0,0,1,0
6419,11,1,7,0,0,0.7624384992652469,0.09880877865685353,1,9,238.83333333333334,0,0,0,0,0,0,1,0
6419,11,1,7,1,0,0.7624384992652469,0.11445128255420256,1,9,315,0,0,0,0,0,0,1,0
6419,14,2,34,0,0,0.7442305401680768,0.10414689041355253,1.5333333333333334,87,2934.0333333333333,0,1,0,1,0,0,1,1
6419,14,2,34,1,0,0.6996203487919223,0.03440688310130946,1,85,2263.2,0,1,0,1,0,0,1,1
6461,10,1,51,0,1,0.9535839355442822,0.2932391528823979,1.6808510638297873,61,782.5744680851063,1,1,1,0,0,0,1,0
6461,10,1,51,1,1,0.93588634663158,0.28673699431949184,1,11,90.4,1,1,1,0,0,0,1,0
6461,11,2,13,0,1,0.9215432732929418,0.272480285462038,1,35,764.8888888888889,0,0,0,0,0,0,0,0
6461,11,2,13,1,1,0.93588634663158,0.27619625263743924,1,36,865.4,1,0,1,0,0,0,0,0
6461,11,3,13,0,1,0.9215432732929418,0.27189624272746804,1,19,615.4444444444445,1,0,1,0,0,0,0,0
6461,11,3,13,1,1,0.9036144316196442,0.269912976026535,1,9,671.6,1,0,1,0,0,0,0,0
6508,11,1,21,0,0,0.616730231067926,-0.034871243006830324,2.235294117647059,36,756.9411764705883,0,0,0,0,0,0,0,0
6508,11,1,21,1,0,0.647512621048725,-0.011092912789547112,1.2,32,831,0,0,0,0,0,0,0,0
6573,11,1,17,0,0,0.7939076930539221,0.1388326450290843,1,36,845.3846153846154,1,0,0,0,0,0,1,0
6573,11,1,17,1,0,0.8177682989173465,0.1591627650790744,1,32,831,1,0,0,0,0,0,1,0
6573,12,2,17,0,0,0.7678779340707339,0.12817764282226563,1,9,667.9230769230769,1,0,0,0,0,0,1,0
6573,12,2,17,1,0,0.710612459315194,0.09695508016480336,1,9,646.8,1,0,0,0,0,0,1,0
6573,15,3,70,0,0,0.7812040915510537,0.13065186887651056,1.2121212121212122,87,2124.439393939394,1,0,1,1,0,1,1,0
6573,15,3,70,1,0,0.8189633334836652,0.20157944810005926,1,62,924,1,1,1,1,0,0,1,0
6573,17,4,59,0,0,0.7455433046712904,0.06501637457752507,1,140,3151.018181818182,1,1,1,1,0,1,1,1
6573,17,4,59,1,0,0.8189633334836652,0.12998882186028266,1,67,2368.6,1,1,1,1,0,1,1,1
6605,16,1,14,0,0,0.4758584094624365,-0.1791681843419229,1,87,3565.1,0,0,0,0,0,0,1,0
6605,16,1,14,1,0,0.4699983877520407,-0.18028111034824001,1,86,3590.4,0,0,0,0,0,0,1,0
6612,17,1,95,0,1,0.8508594437550927,0.1716723155780368,4.1098901098901095,141,2620.6593406593406,1,1,1,1,1,1,1,1
6612,17,1,95,1,1,0.9157110164242406,0.18992398477369737,1,44,2069.8,1,1,1,1,0,1,1,1
6612,18,2,23,0,0,0.8798003755310189,0.14312240577413962,1.736842105263158,52,2583.8947368421054,1,1,1,1,1,1,1,1
6612,18,2,23,1,0,0.8532342769879468,0.14930378577891673,1.2,52,2660,1,1,1,1,1,1,1,1
6612,18,3,11,0,0,0.8485588800522589,0.18745466586082216,1,127,3049.6,1,1,1,1,1,1,1,1
6612,18,3,11,1,0,0.8546636277629484,0.20757165791526921,1,128,2953,1,1,1,1,1,1,1,1
6643,14,1,32,0,0,0.8742857149669102,0.23619058941091808,1,81,2925.75,0,1,0,0,0,0,1,0
6643,14,1,32,1,0,0.8400000333786011,0.18463190793991088,1,87,2765.6,0,1,0,0,0,0,1,1
6649,11,1,13,0,0,0.6720290730062425,0.00994838770859438,1.5555555555555556,9,193.11111111111111,0,0,0,0,0,0,1,0
6649,11,1,13,1,0,0.7208411584297816,0.07708003024260202,1.2,9,294.8,0,0,0,0,0,0,1,0
6686,16,1,39,0,0,0.6433776322597732,-0.057595992582734276,1,141,3080.714285714286,1,1,1,1,1,0,1,0
6686,16,1,39,1,0,0.6537188379995285,0.0036727397672591923,1,87,3678.6,1,1,0,1,1,0,0,0
6720,6,1,20,0,0,0.8765619351632065,0.17012052713996834,1,19,499.625,0,0,0,0,0,0,1,0
6720,6,1,20,1,0,0.8780523637930552,0.16366412440935768,1,19,677,0,0,0,0,0,0,1,0
6720,6,2,18,0,0,0.8417316694108267,0.15247390289155263,1,19,528.4285714285714,0,0,1,0,0,0,1,0
6720,6,2,18,1,0,0.7976604236496819,0.12767745388878715,1,16,794.4,0,0,1,0,0,0,1,0
6720,6,3,14,0,0,0.7503916634453668,0.12571559382809533,1,19,864.8,0,0,1,0,0,0,1,0
6720,6,3,14,1,0,0.7976604382197062,0.1541852335135142,1,23,1062.8,0,0,1,0,0,0,1,0
6720,6,4,8,0,0,0.8440850963668218,0.1840700668001932,1,23,1043.5714285714287,0,0,1,0,0,0,1,0
6720,6,4,8,1,0,0.8567463590039147,0.18238337172402275,1,18,930.5,0,0,0,0,0,0,1,0
6720,6,5,7,0,0,0.8567463590039147,0.18068872723314497,1,20,942.6666666666666,0,0,0,0,0,0,1,0
6720,6,5,7,1,0,0.8567463590039147,0.18020321263207328,1,17,783.5,0,0,0,0,0,0,1,0
6737,16,1,46,0,0,0.7749756478655787,0.08217484785998387,1.8333333333333333,141,3128.7380952380954,1,1,1,1,1,1,1,1
6737,16,1,46,1,0,0.7123798343443102,0.06177134244672717,1,73,3161.4,1,1,1,1,0,1,1,1
6789,16,1,40,0,0,0.8175883965039339,0.12039048320824103,1,141,3198.8888888888887,1,1,1,1,0,1,1,1
6789,16,1,40,1,0,0.7472209253618793,0.09693338063455394,1,85,3495.2,1,1,1,1,0,1,1,1
6831,7,1,13,0,0,0.6972802410155167,0.07056496835049288,1,15,833.7777777777778,0,1,1,0,0,0,1,0
6831,7,1,13,1,0,0.7614650130271912,0.07950473427772523,1,18,943.2,0,1,1,0,0,0,1,0
6831,8,2,11,0,0,0.7877224451965756,0.07125914461082887,1,85,697.3,1,1,1,0,0,0,1,0
6831,8,2,11,1,0,0.7877224451965756,0.0627224809593625,1,62,681,1,1,1,0,0,0,1,0
6844,16,1,13,0,0,0.12506856072458727,-0.5219526600654281,1,73,2948.222222222222,1,0,1,0,0,1,1,1
6844,16,1,13,1,0,0.16302039861348608,-0.49312677145334743,1,72,2843,1,0,1,0,0,1,1,1
6869,6,1,20,0,0,0.05606715392919299,-0.6503742540940451,1,19,499.625,0,0,0,0,0,0,1,0
6869,6,1,20,1,0,0.05606715392919299,-0.6583210854545045,1,19,677,0,0,0,0,0,0,1,0
6869,6,2,7,0,0,0.05606715392919299,-0.6199904778415767,1,20,942.6666666666666,0,0,0,0,0,0,1,0
6869,6,2,7,1,0,0.05606715392919299,-0.6204759924426484,1,17,783.5,0,0,0,0,0,0,1,0
6869,14,3,32,0,0,0.17840251543764446,-0.45969261011834767,2.642857142857143,81,2925.75,0,1,0,0,0,0,1,0
6869,14,3,32,1,0,0.18160937339090916,-0.47375875204778106,2,87,2765.6,0,1,0,0,0,0,1,1
6885,12,1,42,0,0,0.6556549577249421,0.015463090561635298,1,32,612.421052631579,1,0,0,0,0,0,1,1
6885,12,1,42,1,0,0.6244616498549779,0.016265647610028574,1,7,481.2,1,0,0,0,0,0,1,0
6885,14,2,34,0,0,0.6767703322313164,0.04065642632463925,1,81,2809.5333333333333,0,1,0,1,0,0,1,0
6885,14,2,34,1,0,0.6489578620080025,-0.006410263430687645,1,87,2765.6,0,1,0,1,0,0,1,1
7015,18,1,9,0,0,0.7728057181642902,0.1085004521714103,1,126,3068.125,1,1,1,1,0,1,1,1
7015,18,1,9,1,0,0.7800281932277064,0.13172818624204208,1,127,2975.5,1,1,1,1,0,1,1,1
7073,14,1,32,0,0,0.9139266066974209,0.2758314811414288,1,81,2925.75,1,0,1,1,1,0,1,0
7073,14,1,32,1,0,0.8487117559679093,0.1933436305292191,1,87,2765.6,1,0,1,1,1,0,1,1
7113,14,2,12,0,0,0.6645182534571616,0.015547668140742042,1,87,2769.125,0,1,0,1,0,0,1,1
7113,14,2,12,1,0,0.6645182534571616,-0.007849629271415016,1,84,2086.2,0,1,0,1,0,0,1,1
7113,19,3,10,0,0,0.6645182534571616,0.02167345396506739,1,137,3016.1111111111113,1,1,1,1,1,1,1,0
7113,19,3,10,1,0,0.6645182534571616,0.03576360787114785,1,146,3122,1,1,1,1,1,1,1,0
7117,14,1,32,0,0,0.6478041371304868,0.009709011574494667,1,81,2925.75,0,1,0,1,0,0,1,0
7117,14,1,32,1,0,0.6149045959595711,-0.04046352947911904,1,87,2765.6,0,1,0,1,0,0,1,1
