dummyCell,vep,log10_boutLength,center,Δ_std_nHouse,Δ_std_fieldContention,Δ_std_regionalPop,Δ_std_localCatchmentQuality,Δ_std_catchmentRelToRegion,Δ_greatkiva,Δ_plaza,Δ_oversizepit,Δ_greathouse,Δ_multiwalls,Δ_encwall,Δ_towers,Δ_reservoir
6166,6,1.2041199826559248,0,-0.08624855480170135,0.2564200723197137,-1.0521183157335983,0.15345308412822553,0.11603050134475978,0,0,-1,0,0,0,0,0
6166,10,1.3222192947339193,0,-0.33166376493513755,0.41225568439412036,-0.8703312061092543,-1.37020698796705,-0.8793858187954133,0,0,0,0,0,0,0,0
6166,17,1.9822712330395684,0,-0.601049413535373,-3.2888401023730385,-1.0985837158045895,0.49008036192483573,-0.6874851823064053,-1,-1,-1,-1,-1,-1,-1,0
6190,7,1.380211241711606,0,-0.11562924897260571,1.0745570357103487,-0.06828145641162557,2.137708254858372,0.5393831171228571,0,0,0,0,0,0,0,0
6190,10,1.146128035678238,0,-0.08624855480170135,-0.36692237597791294,-0.540612113272595,-0.3334237498794773,-0.1877029870011075,0,0,0,0,0,0,-1,0
6240,12,1.0791812460476249,0,0.07534526313827242,0.451214587412722,-0.26195458448510117,0.5275944920017812,0.3580451050936404,0,0,0,0,0,0,0,0
6281,16,1.1139433523068367,0,0.20755838690734196,0.41225568439412036,-0.0855410676371387,1.124951978397491,0.8769517552305706,0,0,0,0,0,0,0,0
6295,16,1.6532125137753437,0,-0.2797311749515592,-2.236949720870793,0.48615567749475547,0.10037694718716536,1.2267640747007367,0,0,0,0,0,0,0,0
6295,18,1.8692317197309762,0,-0.32129410816893594,0.6070501994871287,1.1627214341356038,-1.0305682496097286,0.3114353890192571,0,0,0,0,0,0,0,0
6296,19,1.255272505103306,0,0.20755838690734196,1.269351550803357,0.6039849530933425,-0.31837436844772404,-0.3676349309078935,0,0,-1,0,0,0,0,0
6322,14,1.505149978319906,0,0.20755838690734196,0.684968005524332,-0.21413622678306776,-0.6526336964495172,-1.0512158070214122,0,0,0,0,0,0,0,1
6367,15,1.0791812460476249,0,0.20755838690734196,0.6070501994871287,0.8243473970935339,-0.030322316387875452,-0.508524381523808,1,1,0,0,0,0,0,1
6367,17,1.591064607026499,0,0.20755838690734196,-0.7175525031453279,-1.678419792253666,0.5475832361851002,-0.5646307746929696,-1,-1,0,0,0,0,0,-1
6419,11,0.8450980400142568,0,0.20755838690734196,0.451214587412722,0.33912080614809154,0.12882958902011407,0.5488805877741085,0,0,0,0,0,0,0,0
6419,14,1.5314789170422551,0,-0.10583568424897095,0.3732967813755187,-1.4097317374709615,-1.0543196771807402,-1.6412386519987918,0,0,0,0,0,0,0,0
6461,10,1.7075701760979363,1,-0.19251915073901493,-1.4967305635173613,-1.4596949205959346,-0.34054497965256114,-0.019145002307537497,0,0,0,0,0,0,0,0
6461,11,1.1139433523068367,1,0.20755838690734196,0.4901734904313237,0.3961152420110893,0.5092358632856341,0.24295684333800632,1,0,1,0,0,0,0,0
6461,11,1.1139433523068367,1,0.20755838690734196,0.061625557226705374,0.2922714318946643,-0.34667825381178524,0.0967676344743196,0,0,0,0,0,0,0,0
6508,11,1.3222192947339193,0,-0.40079481004314776,0.29537897533831536,0.33418599111176184,0.945238597683513,0.7575700430537611,0,0,0,0,0,0,0,0
6573,11,1.2304489213782739,0,0.20755838690734196,0.29537897533831536,0.12712503647827783,0.7616593852515765,0.6691211168839629,0,0,0,0,0,0,0,0
6573,12,1.2304489213782739,0,0.20755838690734196,0.451214587412722,0.11134916552564367,-1.389962470497409,-0.6532401097885888,0,0,0,0,0,0,0,0
6573,15,1.845098040014257,0,0.08291301769744477,-0.5227579880523197,-2.6496285329287597,1.1302783164682961,1.9669802129652847,0,1,0,0,0,-1,0,0
