dummyCell,vep,log10_boutNo,log10_boutLength,center,std_nHouse,std_fieldContention,std_regionalPop,std_localCatchmentQuality,std_catchmentRelToRegion,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
7292,6,0.3010299956639812,0.8450980400142568,0,-0.2269617118210826,-1.1925315710297388,-0.9071159015016531,0.4183835944544279,0.3480581670165414,0,0,0,0,0,0,1,0
7336,14,0,1.5440680443502757,0,0.33612096631924243,0.41241663526104616,0.8626396688929566,0.7588242117546328,0.8859656591147849,0,1,0,1,0,0,1,1
7338,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,-3.0487482421730134,-2.889428624322657,0,1,0,0,0,0,1,1
7372,10,0,1.6232492903979006,0,0.5158788614549487,-0.21039908658313908,-1.0196473943861766,0.7960021787036818,0.8206002273490737,1,1,1,0,0,0,1,0
7372,14,0.3010299956639812,1.505149978319906,0,0.5920676382012083,0.41241663526104616,0.9691022777534251,0.6378579348503138,0.7589313529981504,1,0,1,1,1,0,1,0
7430,12,0,1.4313637641589874,0,-0.2269617118210826,-1.4560305302715095,-1.187290833277774,0.36721543193714373,0.5616158641233273,1,0,1,0,0,0,1,0
7430,13,0.3010299956639812,1.3010299956639813,0,-0.2269617118210826,-0.258307988263461,0.9494405512093644,0.6375468475753631,0.7906326260959,0,0,0,0,0,0,1,0
7433,11,0,1.1760912590556813,0,0.34891829991334067,-0.8092603575871634,-1.1572298804583638,0.22857641680286084,0.31346929688718644,1,0,0,0,0,0,1,0
7484,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,0.6829727876176048,0.7955407362683421,1,0,1,0,0,0,1,1
7498,13,0,1.2304489213782739,0,-0.2269617118210826,-0.258307988263461,1.1248237056388857,0.5213453211413572,0.6608675728061569,0,0,0,0,0,0,1,0
7511,13,0,0.9542425094393249,0,-0.2269617118210826,0.029145421818470626,0.9616407874837264,0.48412056968645384,0.5947572686731668,0,1,0,1,0,0,1,0
7557,8,0,1.568201724066995,1,9.714545859173173,0.36450773358072425,-1.1869085917424484,0.31994936096618803,0.12673256580234205,1,1,1,0,0,0,1,0
7557,10,0.3010299956639812,1.6127838567197355,1,2.8443983507625084,-0.21039908658313908,-0.9394035915669456,0.23943295512325172,0.19957065451363926,1,1,1,0,0,0,1,0
7557,14,0.47712125471966244,1.591064607026499,1,15.913035417055687,0.41241663526104616,0.3993759299000261,0.011078700972042003,0.044856915697443496,1,0,1,1,0,0,1,0
7557,17,0.6020599913279624,1.6532125137753437,1,8.639921251463718,-0.06667238154217325,0.500394285426045,0.35066390517874835,0.057705814107832605,1,1,1,1,1,1,1,1
7577,16,0,1.662757831681574,0,-0.2269617118210826,1.7059569806297386,1.2978601810927133,-1.0429608220416655,-1.1446276880280382,1,0,0,0,0,0,1,1
7577,18,0.3010299956639812,1.4913616938342726,0,-0.2269617118210826,0.9633690045847485,0.900904816227484,-1.0676850572647507,-1.2332654233755982,0,1,0,0,1,1,1,0
7597,14,0,1.0791812460476249,0,0.10380014107253492,0.41241663526104616,0.9253900321591652,0.6230715371614427,0.7229752041714959,0,1,0,0,0,0,1,1
7709,18,0,1.8195439355418688,0,-0.2269617118210826,0.8675512012241047,0.6345401932158001,0.17893058957688263,-0.050530802568344683,1,1,0,0,1,1,1,0
7720,13,0,1.2304489213782739,0,-0.2269617118210826,-0.258307988263461,1.1248237056388857,-0.21768266658128516,-0.06890173996853315,0,0,0,0,0,0,1,0
7767,16,0,1.146128035678238,0,-0.2269617118210826,0.41241663526104616,1.6508970411583588,0.3603340681019718,0.41591791455372057,1,1,0,1,0,0,1,1
7768,14,0,1.3222192947339193,0,-0.2269617118210826,0.41241663526104616,0.8562061803342244,-0.15914464013349383,-0.07823203965933445,0,1,0,1,0,0,1,1
7787,17,0,1.806179973983887,0,-0.2269617118210826,1.7059569806297386,1.137257361365242,-2.667236505843821,-2.7330494138971457,0,1,1,0,0,1,1,1
