SITE_NO,SITE_ID,dummyCell
5MT804,6508,9684
5MT8069,6534,32324
5MT807,6535,30567
5MT8089,6547,69212
5MT809,6548,59124
5MT8090,6549,93801
5MT810,6553,129297
5MT8120,6558,57614
5MT8163,6565,16662
5MT817,6570,13708
5MT8201,6594,5919
5MT8252,6645,31512
5MT8266,6659,54758
5MT8270,6664,54758
5MT8289,6683,124336
5MT829,6684,114693
5MT831,6699,114693
5MT8335,6704,83361
5MT8355,6711,101240
5MT8362,6719,123911
5MT8380,6739,124122
5MT8509,6824,66371
5MT8517,6832,69880
5MT8727,6935,93807
5MT8736,6940,108806
5MT879,6974,35109
5MT8795,6977,110277
5MT8796,6978,98788
5MT8805,6988,123055
5MT881,6993,7420
5MT905,7134,63545
5MT9121,7185,91169
5MT918,7230,13995
5MT928,7270,23337
5MT930,7284,63798
5MT938,7350,63384
5MT9432,7393,13654
5MT944,7395,121009
5MT947,7405,45553
5MT950,7408,109635
5MT952,7410,109630
5MT955,7413,60667
5MT961,7416,43517
5MT968,7425,68179
5MT9701,7429,85035
5MT9795,7437,104695
5MT9797,7439,33850
5MT987,7444,92770
5MT994,7450,20942
5MT998,7454,14695
5MT999,7455,15184
5MV1151,7461,75593
5MV1437,7472,107361
5MV1902,7476,127472
5MV2254,7493,79749
5MV2258,7494,32528
5MV2264,7498,79749
5MV2265,7499,79749
5MV2289,7501,129242
5MV2298,7509,10639
5MV2300,7511,15957
5MV2302,7513,35459
5MV2307,7518,75983
5MV2308,7519,55249
5MV2312,7520,15957
5MV2314,7521,75983
5MT393,7530,12979
5MT13932,7555,47993
5MT13933,7556,33060
5MT13944,7568,61230
5MT13945,7569,59894
5MT13954,7578,114208
5MT13966,7590,51560
5MT13968,7593,115433
5MT13980,7607,126423
5MT13981,7608,65672
5MT13982,7609,17772
5MT13983,7610,23649
5MT13985,7612,129625
5DL2144,7634,116659
5DL513,7641,77975
5DL493,7648,35098
5DL494B,7650,115929
5MT787,7652,90078
NA,7661,59926
NA,7666,88068
NA,7690,77857
NA,7693,65487
NA,7697,120566
NA,7699,60673
NA,7701,9684
NA,7702,22262
5MT3224,7718,122678
5MT3320,7729,8134
5MT13649,7853,12528
5MT13652,7856,33647
5MT13657,7861,118173
5MT13661,7864,118173
5MT13667,7870,12014
5MT13673,7876,127308
5MT13679,7882,42540
5MT13680,7883,96718
5MT13682,7885,101599
5MT13684,7886,101599
5MT13693,7895,19465
5MT13698,7900,57418
5MT13699,7901,82395
5MT13707,7909,61909
5MT14541,7923,96721
5MT157,7931,70136
5MT201,7965,46883
5MT2035,7975,93974
5MT2036,7976,25163
5MT2046,7985,128117
5MT2047,7986,44191
5MT2048,7987,54969
5MT217,7995,37064
5MT2291,8019,15510
5MT2292,8020,128869
5MT2306,8026,50240
5MT2414,8041,127978
5MT2415,8042,91285
5MT2421,8044,45818
5MT403,8135,86283
5MT4106,8138,84835
5MT5782,8251,112631
5MT989,8307,75545
5MV1167,8323,74937
5MV1176,8329,112194
5MV1177,8330,74937
5MV1178,8331,74937
5MV1191,8336,108235
5MV2257,8353,117787
5MV2267,8355,52174
5MV2285,8356,123846
5MV2313,8357,23080
5MV2340,8358,36270
5MV24,8360,51906
5MV25,8361,51906
